cross	hybrid	seedcat	seedset	sdwght	lobe	biomass
1	1	1	9	0.0241	NA	NA
1	1	1	6	0.0179	NA	NA
1	1	1	5	0.0351	NA	NA
1	1	1	6	0.0272	NA	NA
1	1	1	7	0.0286	NA	NA
1	1	1	2	0.0287	25.82	0.0932
1	1	1	9	0.0249	27.12	0.1162
1	1	1	7	0.0269	27.70	0.1182
1	1	1	9	0.0251	31.45	0.1624
1	1	1	8	0.0297	37.69	0.2504
1	1	1	4	0.0301	43.68	0.2539
1	1	1	9	0.0301	34.67	0.2558
1	1	1	3	0.0279	34.75	0.2571
1	1	1	9	0.0310	36.73	0.2726
1	1	1	5	0.0315	44.12	0.2867
1	1	1	9	0.0287	43.66	0.2949
1	1	1	4	0.0315	38.78	0.3151
1	1	1	7	0.0314	50.10	0.4257
1	1	1	6	0.0331	47.29	0.5183
3	1	1	8	0.0358	NA	NA
3	1	1	8	0.0388	NA	NA
3	1	1	8	0.0286	25.45	0.1126
3	1	1	8	0.0190	26.93	0.1292
3	1	1	7	0.0220	30.39	0.1665
3	1	1	8	0.0341	31.45	0.1766
3	1	1	3	0.0355	32.26	0.1794
3	1	1	9	0.0345	32.70	0.1920
3	1	1	7	0.0372	32.99	0.1948
3	1	1	7	0.0358	32.58	0.2001
3	1	1	8	0.0315	34.38	0.2088
3	1	1	3	0.0371	35.72	0.2425
3	1	1	8	0.0334	47.11	0.2707
3	1	1	7	0.0323	42.36	0.3000
3	1	1	7	0.0330	43.69	0.3185
3	1	1	7	0.0391	46.28	0.3573
3	1	1	6	0.0287	48.92	0.3581
3	1	1	8	0.0390	44.58	0.3621
3	1	1	8	0.0346	55.17	0.3761
3	1	1	7	0.0375	50.34	0.4618
5	0	2	7	0.0132	NA	NA
5	0	2	8	0.0151	NA	NA
5	0	2	2	0.0143	NA	NA
5	0	2	2	0.0104	NA	NA
5	0	2	8	0.0166	25.28	0.0807
5	0	2	4	0.0153	22.76	0.0824
5	0	2	8	0.0130	21.22	0.1045
5	0	2	8	0.0168	35.15	0.1546
5	0	2	8	0.0160	37.67	0.1566
5	0	2	8	0.0177	38.60	0.1975
6	1	2	5	0.0147	NA	NA
6	1	2	9	0.0153	NA	NA
6	1	2	9	0.0131	NA	NA
6	1	2	4	0.0107	NA	NA
6	1	2	8	0.0146	NA	NA
6	1	2	3	0.0103	NA	0.0036
6	1	2	9	0.0136	26.57	0.0846
6	1	2	8	0.0133	32.52	0.1379
6	1	2	3	0.0139	33.37	0.1662
6	1	2	3	0.0156	34.52	0.1743
6	1	2	3	0.0157	46.69	0.2779
7	1	2	9	0.0163	NA	NA
7	1	2	8	0.0114	NA	NA
7	1	2	6	0.0139	NA	NA
7	1	2	8	0.0155	NA	NA
7	1	2	3	0.0144	NA	NA
7	1	2	6	0.0147	NA	NA
7	1	2	9	0.0152	25.99	0.0613
7	1	2	7	0.0184	34.95	0.1363
7	1	2	8	0.0165	33.30	0.1842
7	1	2	8	0.0106	43.64	0.1915
7	1	2	9	0.0139	34.23	0.3134
7	1	2	8	0.0175	41.57	0.3199
8	0	2	9	0.0152	NA	NA
8	0	2	9	0.0164	NA	NA
8	0	2	9	0.0140	NA	NA
8	0	2	9	0.0159	NA	NA
8	0	2	9	0.0166	NA	NA
8	0	2	8	0.0184	NA	NA
8	0	2	6	0.0153	15.13	0.0185
8	0	2	8	0.0174	24.28	0.0869
8	0	2	8	0.0154	21.86	0.0930
8	0	2	9	0.0180	34.98	0.1818
8	0	2	9	0.0165	40.61	0.1969
8	0	2	9	0.0165	31.17	0.2262
11	0	1	9	0.0378	NA	NA
11	0	1	7	0.0401	31.25	0.1173
11	0	1	7	0.0388	29.00	0.1664
11	0	1	6	0.0396	32.21	0.1873
11	0	1	7	0.0355	29.07	0.1945
11	0	1	8	0.0380	30.59	0.1973
11	0	1	5	0.0334	31.80	0.2060
11	0	1	8	0.0455	25.47	0.2109
11	0	1	8	0.0391	36.12	0.2262
11	0	1	7	0.0420	29.38	0.2303
11	0	1	5	0.0406	29.41	0.2481
11	0	1	7	0.0377	32.62	0.2520
11	0	1	9	0.0338	44.14	0.2560
11	0	1	9	0.0369	32.98	0.2664
11	0	1	8	0.0359	35.56	0.2678
11	0	1	5	0.0418	37.36	0.2719
11	0	1	9	0.0414	34.79	0.2761
11	0	1	6	0.0382	39.60	0.2835
11	0	1	6	0.0448	39.93	0.2883
11	0	1	6	0.0365	34.73	0.2970
11	0	1	5	0.0371	38.49	0.3079
11	0	1	2	0.0521	36.03	0.3134
11	0	1	8	0.0367	40.55	0.3255
11	0	1	5	0.0368	36.56	0.3306
11	0	1	9	0.0398	41.49	0.3368
